,ID,ACTIVITY,GOOD,SUFFICIENT
0,5001711,1,0,1
4,5001712,1,1,0
23,5001713,1,1,0
45,5001714,1,1,0
60,5001715,1,1,0
120,5001717,1,1,0
142,5001718,1,0,1
181,5001719,1,1,0
224,5001720,1,0,0
260,5001723,1,0,1
291,5001724,1,1,0
322,5001725,1,0,1
330,5001726,1,1,0
369,5001728,1,1,0
370,5001729,1,0,1
377,5001730,1,1,0
438,5001731,1,1,0
449,5001732,1,1,0
485,5001733,1,1,0
496,5001734,1,1,0
499,5001735,1,1,0
523,5001736,1,1,0
547,5001737,1,1,0
569,5001738,1,1,0
613,5001739,1,1,0
671,5001742,1,1,0
718,5001743,1,1,0
759,5001744,1,1,0
788,5001745,1,0,1
799,5001746,1,0,1
811,5001747,1,1,0
839,5001748,1,1,0
873,5001754,1,0,1
885,5001755,1,1,0
896,5001756,1,1,0
915,5001757,1,0,1
936,5001758,1,0,1
983,5001759,1,1,0
1003,5001760,1,1,0
1033,5001765,1,1,0
1065,5001766,1,1,0
1091,5001767,1,0,1
1106,5001768,1,0,1
1114,5001769,1,0,1
1131,5001770,1,0,1
1148,5001771,1,0,1
1163,5001772,1,0,1
1186,5001773,1,1,0
1210,5001774,1,1,0
1237,5001775,1,1,0
1270,5001778,1,1,0
1306,5001779,1,1,0
1352,5001780,1,1,0
1398,5001782,1,0,1
1404,5001783,1,0,1
1424,5001784,1,0,1
1438,5001785,1,0,1
1452,5001786,1,1,0
1511,5001787,0,1,0
1528,5001788,0,1,0
1545,5001789,1,1,0
1578,5001790,1,1,0
1598,5001791,1,0,1
1622,5001792,1,0,0
1647,5001793,1,0,0
1674,5001794,1,1,0
1710,5001795,1,1,0
1748,5001796,1,1,0
1789,5001798,1,1,0
1847,5001800,1,0,1
1851,5001803,1,1,0
1898,5001804,1,1,0
1908,5001805,1,1,0
1931,5001806,1,1,0
1966,5001807,1,1,0
2014,5001808,1,1,0
2071,5001812,1,0,1
2094,5001813,1,1,0
2106,5001816,1,0,0
2118,5001817,1,0,1
2129,5001818,1,1,0
2187,5001819,1,1,0
2230,5001820,1,1,0
2242,5001821,1,0,1
2251,5001823,1,0,1
2259,5001824,0,0,1
2296,5001825,1,0,1
2300,5001827,1,1,0
2354,5001828,1,0,1
2363,5001829,1,0,1
2391,5001830,1,1,0
2401,5001831,1,0,1
2424,5001832,1,1,0
2452,5001833,1,1,0
2485,5001836,1,0,1
2523,5001837,1,1,0
2581,5001838,1,0,1
2620,5001839,1,1,0
2636,5001840,1,1,0
2656,5001841,1,1,0
2674,5001842,1,0,1
2696,5001843,1,1,0
2724,5001844,1,1,0
2772,5001846,1,0,1
2788,5001847,1,0,1
2827,5001848,1,0,1
2865,5001849,1,1,0
2874,5001850,1,0,1
2885,5001851,1,1,0
2897,5001852,1,1,0
2912,5001853,1,1,0
2929,5001854,1,1,0
2948,5001855,1,1,0
2971,5001856,1,1,0
3001,5001857,1,0,1
3039,5001858,1,1,0
3071,5001859,0,1,0
3105,5001860,1,1,0
3107,5001861,1,1,0
3140,5001862,1,1,0
3178,5001863,1,1,0
3216,5001864,1,1,0
3254,5001867,1,1,0
3264,5001870,1,1,0
3299,5001871,1,1,0
3313,5001872,1,1,0
3314,5001873,1,0,1
3348,5001874,1,0,1
3378,5001875,1,1,0
3394,5001876,1,0,1
3414,5001877,1,0,1
3430,5001879,1,1,0
3437,5001882,1,1,0
3442,5001883,1,1,0
3494,5001886,1,0,1
