OCCUPATION_TYPE,DAYS_BIRTH_CATEGORIZED,AMT_INCOME_TOTAL_CATEGORIZED,FLAG_EMAIL,NAME_FAMILY_STATUS,NAME_EDUCATION_TYPE,NAME_INCOME_TYPE,CNT_FAM_MEMBERS_CATEGORIZED,GOOD_BAD,Unnamed: 0_x,ID,Unnamed: 0_y,NUMBER_OF_RECORDS,cumsum,Percentage
Accountants,over 60ties,high income,0,Married,Higher education,State servant,couple,0,26,26,26,26,315,8.253968253968253
Accountants,over 60ties,high income,0,Married,Higher education,State servant,couple,1,289,289,289,289,315,91.74603174603175
Accountants,over 60ties,high income,0,Married,Higher education,Working,couple,0,132,132,132,132,337,39.16913946587537
Accountants,over 60ties,high income,0,Married,Higher education,Working,couple,1,205,205,205,205,337,60.83086053412463
Accountants,over 60ties,high income,0,Married,Secondary / secondary special,Commercial associate,couple,1,52,52,52,52,52,100.0
Accountants,over 60ties,high income,0,Married,Secondary / secondary special,Working,couple,0,118,118,118,118,532,22.18045112781955
Accountants,over 60ties,high income,0,Married,Secondary / secondary special,Working,couple,1,414,414,414,414,532,77.81954887218046
Accountants,over 60ties,high income,0,Widow,Higher education,Working,1 person household,0,7,7,7,7,7,100.0
Accountants,over 60ties,very high income,0,Separated,Higher education,Working,1 person household,0,31,31,31,31,341,9.090909090909092
Accountants,over 60ties,very high income,0,Separated,Higher education,Working,1 person household,1,310,310,310,310,341,90.9090909090909
Accountants,over 60ties,very high income,0,Single / not married,Higher education,Working,1 person household,0,10,10,10,10,10,100.0
Accountants,over 60ties,very high income,0,Widow,Higher education,Working,1 person household,0,18,18,18,18,128,14.0625
Accountants,over 60ties,very high income,0,Widow,Higher education,Working,1 person household,1,110,110,110,110,128,85.9375
Accountants,under 30ties,high income,0,Civil marriage,Higher education,Commercial associate,couple,0,24,24,24,24,198,12.121212121212121
Accountants,under 30ties,high income,0,Civil marriage,Higher education,Commercial associate,couple,1,174,174,174,174,198,87.87878787878788
Accountants,under 30ties,high income,0,Civil marriage,Higher education,Working,couple,0,40,40,40,40,49,81.63265306122449
Accountants,under 30ties,high income,0,Civil marriage,Higher education,Working,couple,1,9,9,9,9,49,18.367346938775512
Accountants,under 30ties,high income,0,Married,Higher education,Commercial associate,couple,0,41,41,41,41,41,100.0
Accountants,under 30ties,high income,0,Married,Higher education,Working,2+1,0,147,147,147,147,207,71.01449275362319
Accountants,under 30ties,high income,0,Married,Higher education,Working,2+1,1,60,60,60,60,207,28.985507246376812
Accountants,under 30ties,high income,0,Married,Higher education,Working,couple,0,66,66,66,66,127,51.96850393700787
Accountants,under 30ties,high income,0,Married,Higher education,Working,couple,1,61,61,61,61,127,48.031496062992126
Accountants,under 30ties,high income,0,Married,Incomplete higher,Working,couple,0,26,26,26,26,62,41.935483870967744
Accountants,under 30ties,high income,0,Married,Incomplete higher,Working,couple,1,36,36,36,36,62,58.06451612903226
Accountants,under 30ties,high income,0,Married,Secondary / secondary special,Commercial associate,couple,1,27,27,27,27,27,100.0
Accountants,under 30ties,high income,0,Married,Secondary / secondary special,Working,2+1,0,28,28,28,28,60,46.666666666666664
Accountants,under 30ties,high income,0,Married,Secondary / secondary special,Working,2+1,1,32,32,32,32,60,53.333333333333336
Accountants,under 30ties,high income,0,Separated,Higher education,Working,1 person household,1,67,67,67,67,67,100.0
Accountants,under 30ties,high income,0,Single / not married,Higher education,Commercial associate,1 person household,1,22,22,22,22,22,100.0
Accountants,under 30ties,high income,0,Single / not married,Higher education,Commercial associate,couple,1,26,26,26,26,26,100.0
Accountants,under 30ties,high income,0,Single / not married,Higher education,State servant,1 person household,0,43,43,43,43,82,52.4390243902439
Accountants,under 30ties,high income,0,Single / not married,Higher education,State servant,1 person household,1,39,39,39,39,82,47.5609756097561
Accountants,under 30ties,high income,0,Single / not married,Secondary / secondary special,State servant,1 person household,1,10,10,10,10,10,100.0
Accountants,under 30ties,high income,0,Single / not married,Secondary / secondary special,Working,1 person household,0,6,6,6,6,76,7.894736842105263
Accountants,under 30ties,high income,0,Single / not married,Secondary / secondary special,Working,1 person household,1,70,70,70,70,76,92.10526315789474
Accountants,under 30ties,high income,1,Civil marriage,Lower secondary,Commercial associate,2+2,0,6,6,6,6,19,31.57894736842105
Accountants,under 30ties,high income,1,Civil marriage,Lower secondary,Commercial associate,2+2,1,13,13,13,13,19,68.42105263157895
Accountants,under 30ties,high income,1,Married,Higher education,Commercial associate,couple,0,13,13,13,13,70,18.571428571428573
Accountants,under 30ties,high income,1,Married,Higher education,Commercial associate,couple,1,57,57,57,57,70,81.42857142857143
Accountants,under 30ties,high income,1,Married,Higher education,Working,couple,0,50,50,50,50,104,48.07692307692308
Accountants,under 30ties,high income,1,Married,Higher education,Working,couple,1,54,54,54,54,104,51.92307692307693
Accountants,under 30ties,medium income,0,Civil marriage,Secondary / secondary special,Working,2+1,0,21,21,21,21,35,60.0
Accountants,under 30ties,medium income,0,Civil marriage,Secondary / secondary special,Working,2+1,1,14,14,14,14,35,40.0
Accountants,under 30ties,medium income,1,Married,Higher education,State servant,2+1,0,12,12,12,12,12,100.0
Accountants,under 30ties,very high income,0,Married,Higher education,Commercial associate,couple,0,99,99,99,99,157,63.05732484076433
Accountants,under 30ties,very high income,0,Married,Higher education,Commercial associate,couple,1,58,58,58,58,157,36.94267515923567
Accountants,under 30ties,very high income,0,Married,Higher education,Working,couple,0,34,34,34,34,56,60.71428571428571
Accountants,under 30ties,very high income,0,Married,Higher education,Working,couple,1,22,22,22,22,56,39.285714285714285
Accountants,under 30ties,very high income,0,Married,Incomplete higher,Commercial associate,2+1,0,9,9,9,9,41,21.951219512195124
Accountants,under 30ties,very high income,0,Married,Incomplete higher,Commercial associate,2+1,1,32,32,32,32,41,78.04878048780488
Accountants,under 30ties,very high income,0,Married,Incomplete higher,Commercial associate,couple,0,15,15,15,15,70,21.428571428571427
Accountants,under 30ties,very high income,0,Married,Incomplete higher,Commercial associate,couple,1,55,55,55,55,70,78.57142857142857
Accountants,under 30ties,very high income,0,Single / not married,Higher education,Working,1 person household,0,8,8,8,8,11,72.72727272727273
Accountants,under 30ties,very high income,0,Single / not married,Higher education,Working,1 person household,1,3,3,3,3,11,27.27272727272727
Accountants,under 30ties,very high income,0,Single / not married,Higher education,Working,couple,1,266,266,266,266,266,100.0
Accountants,under 30ties,very high income,0,Single / not married,Incomplete higher,Commercial associate,1 person household,0,19,19,19,19,93,20.43010752688172
Accountants,under 30ties,very high income,0,Single / not married,Incomplete higher,Commercial associate,1 person household,1,74,74,74,74,93,79.56989247311827
Accountants,under 30ties,very high income,0,Single / not married,Secondary / secondary special,Working,1 person household,1,52,52,52,52,52,100.0
Accountants,under 30ties,very high income,1,Civil marriage,Higher education,Commercial associate,2+1,0,8,8,8,8,184,4.3478260869565215
Accountants,under 30ties,very high income,1,Civil marriage,Higher education,Commercial associate,2+1,1,176,176,176,176,184,95.65217391304348
Accountants,under 30ties,very high income,1,Married,Higher education,Working,2+1,0,39,39,39,39,39,100.0
Accountants,under 40ties,high income,0,Civil marriage,Higher education,Commercial associate,2+1,0,90,90,90,90,90,100.0
Accountants,under 40ties,high income,0,Civil marriage,Higher education,Commercial associate,couple,1,262,262,262,262,262,100.0
Accountants,under 40ties,high income,0,Civil marriage,Higher education,Working,2+2,1,143,143,143,143,143,100.0
Accountants,under 40ties,high income,0,Civil marriage,Higher education,Working,couple,0,21,21,21,21,21,100.0
Accountants,under 40ties,high income,0,Civil marriage,Secondary / secondary special,Working,couple,0,8,8,8,8,8,100.0
Accountants,under 40ties,high income,0,Married,Higher education,Commercial associate,2+1,0,144,144,144,144,521,27.63915547024952
Accountants,under 40ties,high income,0,Married,Higher education,Commercial associate,2+1,1,377,377,377,377,521,72.36084452975048
Accountants,under 40ties,high income,0,Married,Higher education,Commercial associate,2+2,0,76,76,76,76,267,28.46441947565543
Accountants,under 40ties,high income,0,Married,Higher education,Commercial associate,2+2,1,191,191,191,191,267,71.53558052434457
Accountants,under 40ties,high income,0,Married,Higher education,Commercial associate,couple,0,48,48,48,48,189,25.396825396825395
Accountants,under 40ties,high income,0,Married,Higher education,Commercial associate,couple,1,141,141,141,141,189,74.60317460317461
Accountants,under 40ties,high income,0,Married,Higher education,State servant,2+1,1,16,16,16,16,16,100.0
Accountants,under 40ties,high income,0,Married,Higher education,State servant,2+2,1,85,85,85,85,85,100.0
Accountants,under 40ties,high income,0,Married,Higher education,Working,2+1,0,150,150,150,150,726,20.66115702479339
Accountants,under 40ties,high income,0,Married,Higher education,Working,2+1,1,576,576,576,576,726,79.33884297520662
Accountants,under 40ties,high income,0,Married,Higher education,Working,2+2,0,84,84,84,84,389,21.59383033419023
Accountants,under 40ties,high income,0,Married,Higher education,Working,2+2,1,305,305,305,305,389,78.40616966580977
Accountants,under 40ties,high income,0,Married,Higher education,Working,big family,0,12,12,12,12,40,30.0
Accountants,under 40ties,high income,0,Married,Higher education,Working,big family,1,28,28,28,28,40,70.0
Accountants,under 40ties,high income,0,Married,Higher education,Working,couple,0,165,165,165,165,825,20.0
Accountants,under 40ties,high income,0,Married,Higher education,Working,couple,1,660,660,660,660,825,80.0
Accountants,under 40ties,high income,0,Married,Incomplete higher,State servant,2+1,0,75,75,75,75,75,100.0
Accountants,under 40ties,high income,0,Married,Secondary / secondary special,Commercial associate,2+1,0,52,52,52,52,296,17.56756756756757
Accountants,under 40ties,high income,0,Married,Secondary / secondary special,Commercial associate,2+1,1,244,244,244,244,296,82.43243243243244
Accountants,under 40ties,high income,0,Married,Secondary / secondary special,Commercial associate,2+2,0,14,14,14,14,76,18.421052631578945
Accountants,under 40ties,high income,0,Married,Secondary / secondary special,Commercial associate,2+2,1,62,62,62,62,76,81.57894736842105
Accountants,under 40ties,high income,0,Married,Secondary / secondary special,Commercial associate,couple,1,176,176,176,176,176,100.0
Accountants,under 40ties,high income,0,Married,Secondary / secondary special,Working,2+1,0,5,5,5,5,8,62.5
Accountants,under 40ties,high income,0,Married,Secondary / secondary special,Working,2+1,1,3,3,3,3,8,37.5
Accountants,under 40ties,high income,0,Married,Secondary / secondary special,Working,2+2,0,128,128,128,128,134,95.52238805970148
Accountants,under 40ties,high income,0,Married,Secondary / secondary special,Working,2+2,1,6,6,6,6,134,4.477611940298507
Accountants,under 40ties,high income,0,Married,Secondary / secondary special,Working,big family,0,20,20,20,20,20,100.0
Accountants,under 40ties,high income,0,Married,Secondary / secondary special,Working,couple,0,36,36,36,36,91,39.56043956043956
Accountants,under 40ties,high income,0,Married,Secondary / secondary special,Working,couple,1,55,55,55,55,91,60.43956043956044
Accountants,under 40ties,high income,0,Single / not married,Higher education,Working,couple,0,8,8,8,8,53,15.09433962264151
Accountants,under 40ties,high income,0,Single / not married,Higher education,Working,couple,1,45,45,45,45,53,84.90566037735849
